Fighter_Name,Height_cm,Weight_lbs,Reach_cm,Age,Win_Rate,Total_Fights,SLpM,Str_Acc_f,SApM,Str_Def_f,TD_Avg,TD_Acc_f,TD_Def_f,Sub_Avg
Sho Patrick Usami,175.3,155.0,177.8,23.6,0.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Usman,188.0,239.0,200.7,34.8,0.75,16,3.85,0.39,4.27,0.51,0.56,0.14,0.66,0.0
Darren Uyenoyama,167.6,125.0,165.1,44.2,0.625,16,1.34,0.39,2.21,0.66,1.42,0.33,0.35,0.7
Richie Vaculik,167.6,125.0,175.3,40.5,0.7142857142857143,14,3.69,0.46,4.09,0.57,3.0,0.45,0.31,1.0
Rashid Vagabov,170.2,125.0,160.0,25.5,0.875,16,1.87,0.38,0.93,0.67,3.0,0.5,1.0,3.0
Artem Vakhitov,185.4,205.0,190.5,32.7,0.75,4,3.88,0.75,0.68,0.7982999999999993,0.0,0.0,1.0,0.0
Egidijus Valavicius,182.9,200.0,182.9,45.0,0.7073170731707317,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genaro Valdez,175.3,155.0,182.9,32.0,0.7692307692307693,13,4.08,0.3,7.16,0.48,1.54,0.44,0.36,0.4
Charlie Valencia,160.0,135.0,162.6,49.2,0.631578947368421,19,2.58,0.37,2.61,0.77,1.4,0.53,0.75,0.5
Victor Valenzuela,177.8,155.0,182.9,36.8,0.6190476190476191,21,1.28,0.75,2.55,0.0,0.0,0.0,0.0,0.0
Ivan Valenzuela,188.0,185.0,195.6,31.1,0.8,10,0.0,0.0,9.6,0.33,0.0,0.0,0.0,0.0
Timur Valiev,167.6,135.0,170.2,33.9,0.8571428571428571,21,5.19,0.53,3.33,0.45,1.73,0.4,0.55,0.3
Victor Valimaki,182.9,205.0,182.9,42.0,0.6428571428571429,28,3.94,0.3,2.99,0.67,0.9,0.14,0.0,0.0
Andrew Valladerez,177.8,135.0,182.9,36.5,0.4166666666666667,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Vallie-Flagg,172.7,155.0,177.8,45.7,0.6666666666666666,24,5.56,0.47,5.6,0.45,0.2,0.12,0.58,0.0
Mike van Arsdale,188.0,205.0,182.9,58.5,0.6153846153846154,13,1.52,0.41,1.91,0.41,1.06,0.14,0.37,0.0
Matt Van Buren,195.6,205.0,182.9,37.6,0.5384615384615384,13,7.73,0.45,6.82,0.49,0.0,0.0,0.5,0.0
Ron van Clief,177.8,190.0,182.9,59.08299999999999,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lloyd Van Dams,185.4,240.0,182.9,51.8,0.0,1,0.0,0.0,3.01,0.15,0.0,0.0,0.0,0.0
Alain Van der Merckt,177.8,185.0,182.9,30.6,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron VanCamp,188.0,155.0,188.0,30.7,0.6521739130434783,23,5.31,0.47,6.41,0.4,0.0,0.0,0.0,0.0
Chad Vance,182.9,185.0,182.9,36.8,0.5833333333333334,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Vanderaa,193.0,265.0,203.2,31.6,0.5454545454545454,22,4.96,0.44,5.67,0.45,0.18,0.5,0.2,0.0
Austin Vanderford,180.3,170.0,188.0,33.8,0.8125,16,3.04,0.59,2.71,0.48,3.08,0.35,1.0,1.2
Paige VanZant,162.6,115.0,165.1,29.8,0.6153846153846154,13,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1.0
Paul Varelans,198.1,265.0,182.9,54.3,0.5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazula Vargas,172.7,155.0,180.3,38.4,0.7058823529411765,17,3.65,0.53,1.77,0.57,0.4,0.25,0.3,0.4
Jamie Varner,172.7,155.0,180.3,39.2,0.6363636363636364,33,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8
Guilherme Vasconcelos,182.9,185.0,182.9,37.8,0.6923076923076923,13,3.27,0.29,4.4,0.7,0.0,0.0,0.0,0.0
Linton Vassell,193.0,205.0,182.9,40.6,0.782608695652174,23,3.39,0.37,2.13,0.54,2.46,0.5,0.5,0.0
Billy Vaughan,167.6,155.0,182.9,40.1,0.41379310344827586,29,0.0,0.0,1.36,0.5,0.0,0.0,0.0,0.0
Yuri Vaulin,193.0,197.0,182.9,59.08299999999999,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Vazquez,170.2,145.0,175.3,46.5,0.7619047619047619,21,2.43,0.36,1.99,0.72,2.56,0.52,0.57,1.5
Manny Vazquez,177.8,125.0,182.9,30.1,0.8461538461538461,13,1.47,0.41,2.67,0.48,1.0,0.33,0.0,1.0
Matt Veach,180.3,155.0,182.9,42.6,0.7727272727272727,22,1.12,0.28,4.91,0.44,3.64,0.38,1.0,1.5
